able yapabilen
unless olmadıkça
until e_kadar
up yukarı
upstairs üst_kat
urgent acil
us bizi
useful faydalı
usual olağan
very çok
warm ılık
water su
way yol
we biz
weak zayıf
weather hava
wednesday çarşamba
week hafta
well iyi
what ne
whatever her_ne
when ne_zaman
whenever her_ne_zaman
where nerede
while iken
white beyaz
who kim
whoever her_kim
whole bütün
whose kimin
why neden
wife eş
will irade
window pencere
with ile
within içinde
without olmadan
woman kadın
wonderful harika
word kelime
world dünya
worse daha_kötü
worst en_kötü
wrong yanlış
year yıl
yellow sarı
yes evet
yesterday dün
yet henüz
young genç
your senin
zero sıfır
